PeriodId,TurnoverRec-82
3,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1.71428571428571
15,1.42857142857142
16,0.367647058823528
17,0.638977635782756
18,0.334448160535117
19,0.224971878515179
20,0.232558139534889
21,0.104058272632668
22,0.112866817155766
23,0.242718446601953
24,0.12626262626263
25,0.427350427350426
26,0.374531835205993
27,0.250312891113902
28,0.124999999999997
29,0.395256916996045
30,0.11560693641619
31,0.250312891113902
32,0.214592274678105
33,0.443458980044342
34,0.641025641025639
35,0.12903225806451
Median,0.219782076596642
Average,0.219782076596642
